name,gender,place_of_birth,birthday,profile_url,popularity,latitude,longitude
Johnny Depp,2,Owensboro Kentucky USA ,09/06/1963,https://www.themoviedb.org/person/85,13358.46651,37.7742152,-87.1133304
Amanda Plummer,1,New York City New York USA,23/03/1957,https://www.themoviedb.org/person/99,361.2402739,40.7127281,-74.0060152
Debbie Harry,1,Miami Florida USA,01/07/1945,https://www.themoviedb.org/person/102,30.52748843,25.7741728,-80.19362
Mark Ruffalo,2,Kenosha Wisconsin USA,22/11/1967,https://www.themoviedb.org/person/103,8329.665916,42.5846773,-87.8212263
Elijah Wood,2,Cedar Rapids Iowa USA,28/01/1981,https://www.themoviedb.org/person/109,2058.640594,41.9758872,-91.6704053
Viggo Mortensen,2,Manhattan New York City New York USA,20/10/1958,https://www.themoviedb.org/person/110,3241.535137,40.7896239,-73.9598939
Jake Gyllenhaal,2,Los Angeles California USA,19/12/1980,https://www.themoviedb.org/person/131,8977.876106,34.0536909,-118.242766
Scott MacDonald,2,Libby Montana USA,01/01/1959,https://www.themoviedb.org/person/132,36.97390276,48.3883645,-115.5558612
Peter Sarsgaard,2,Belleville Illinois USA,07/03/1971,https://www.themoviedb.org/person/133,972.6770667,38.5200504,-89.9839935
Jamie Foxx,2,Terrell Texas USA,13/12/1967,https://www.themoviedb.org/person/134,6983.856599,30.1990738,-102.0974881
Uma Thurman,1,Boston Massachusetts USA,29/04/1970,https://www.themoviedb.org/person/139,755.5359423,42.3554334,-71.060511
Lucy Liu,1,Queens New York USA,02/12/1968,https://www.themoviedb.org/person/140,519.7554849,40.7135078,-73.8283132
David Carradine,2,Hollywood Los Angeles California USA,08/12/1936,https://www.themoviedb.org/person/141,228.6662155,34.0980031,-118.329523
Michael Madsen,2,Chicago Illinois USA,25/09/1957,https://www.themoviedb.org/person/147,5533.172839,41.8755616,-87.6244212
Jim Morrison,2,Melbourne Florida USA,08/12/1943,https://www.themoviedb.org/person/152,2.478828537,28.106471,-80.6371513
Lucas Black,2,Speake Alabama USA,29/11/1982,https://www.themoviedb.org/person/155,403.195587,34.41593,-87.167515
Margo Stilley,1,Bear Creek North Carolina USA ,20/11/1982,https://www.themoviedb.org/person/177,6.788815554,35.6168118,-79.3847432
Clint Eastwood,2,San Francisco California USA,31/05/1930,https://www.themoviedb.org/person/190,5064.802004,37.7790262,-122.419906
Morgan Freeman,2,Memphis Tennessee USA,01/06/1937,https://www.themoviedb.org/person/192,10910.02542,35.1490215,-90.0516285
Gene Hackman,2,San Bernardino California USA,30/01/1930,https://www.themoviedb.org/person/193,2313.994259,34.8253019,-116.0833144
Dan Castellaneta,2,Chicago Illinois USA ,29/10/1957,https://www.themoviedb.org/person/198,196.9233734,41.8755616,-87.6244212
Julie Kavner,1,Los Angeles California U.S.,07/09/1950,https://www.themoviedb.org/person/199,127.6796456,-16.5867477,-72.7388789
Nancy Cartwright,1, Dayton Ohio USA,25/10/1957,https://www.themoviedb.org/person/200,161.7336094,39.7589478,-84.1916069
Kirsten Dunst,1,Point Pleasant New Jersey USA,30/04/1982,https://www.themoviedb.org/person/205,2306.363229,40.0831714,-74.0681931
Jane Adams,1,Washington D.C. United States,01/04/1965,https://www.themoviedb.org/person/209,359.3885417,38.8950368,-77.0365427
Amir Ali Said,2,Brooklyn New York USA,13/03/1996,https://www.themoviedb.org/person/210,81.28031118,40.6526006,-73.9497211
David Cross,2,Atlanta Georgia USA,04/04/1964,https://www.themoviedb.org/person/212,843.2523026,33.7489924,-84.3902644
Josh Flitter,2,Ridgewood New Jersey USA,25/08/1994,https://www.themoviedb.org/person/216,81.08482174,40.9796683,-74.1194403
Lauren Adler,1,Brooklyn New York USA,,https://www.themoviedb.org/person/221,112.4082747,40.6526006,-73.9497211
Ashton Holmes,2,Albany - New York - USA,17/02/1978,https://www.themoviedb.org/person/225,100.4716592,42.6511674,-73.754968
William Hurt,2,Washington District of Columbia USA,20/03/1950,https://www.themoviedb.org/person/227,1448.972765,38.8950368,-77.0365427
Ed Harris,2,Englewood New Jersey USA,28/11/1950,https://www.themoviedb.org/person/228,3266.789667,40.8928771,-73.9726381
Keir Dullea,2,Cleveland Ohio USA,30/05/1936,https://www.themoviedb.org/person/245,1087.55949,41.4996562,-81.6936813
Gary Lockwood,2,Van Nuys California USA,21/02/1937,https://www.themoviedb.org/person/246,981.5288554,34.1866193,-118.4486675
William Sylvester,2,Oakland California USA,31/01/1922,https://www.themoviedb.org/person/247,1126.235432,37.8044557,-122.2713563
Daniel Richter,2,Darien Connecticut USA,15/06/1939,https://www.themoviedb.org/person/248,60.272251,41.0787079,-73.4692873
Brad Pitt,2,Shawnee Oklahoma USA,18/12/1963,https://www.themoviedb.org/person/287,19461.00912,35.3272928,-96.9253004
Jon Seda,2,Manhattan New York City New York USA,14/10/1970,https://www.themoviedb.org/person/288,157.0985685,40.7896239,-73.9598939
Madeleine Stowe,1,Los Angeles California USA,18/08/1958,https://www.themoviedb.org/person/289,1501.87737,34.0536909,-118.242766
Frank Gorshin,2,Pittsburgh Pennsylvania USA,05/04/1933,https://www.themoviedb.org/person/291,455.2510657,40.3693889,-80.6243098
Eminem,2,St. Joseph Missouri USA,17/10/1972,https://www.themoviedb.org/person/325,64.26343711,39.7686055,-94.8466322
Kim Basinger,1,Athens Georgia USA,08/12/1953,https://www.themoviedb.org/person/326,1318.095238,33.9597677,-83.376398
Mekhi Phifer,2,Harlem New York City New York USA,29/12/1974,https://www.themoviedb.org/person/327,295.5750876,40.8078786,-73.9454154
Brittany Murphy,1,Atlanta Georgia USA,10/11/1977,https://www.themoviedb.org/person/328,193.0742864,33.7489924,-84.3902644
Evan Jones,2,Texas U.S.,01/04/1976,https://www.themoviedb.org/person/333,261.8072093,31.7871793,34.6464418
Omar Benson Miller,2,Los Angeles California USA,07/10/1978,https://www.themoviedb.org/person/334,93.52311573,34.0536909,-118.242766
Michael Shannon,2,Lexington Kentucky USA,07/08/1974,https://www.themoviedb.org/person/335,5011.813911,38.0464066,-84.4970393
Xzibit,2,Detroit Michigan U.S.,18/09/1974,https://www.themoviedb.org/person/336,67.02795154,42.34688505,-82.99736765
Proof,2,Detroit Michigan USA,02/10/1973,https://www.themoviedb.org/person/337,0,42.3315509,-83.0466403
Obie Trice,2,Detroit Michigan USA,14/11/1977,https://www.themoviedb.org/person/338,0,42.3315509,-83.0466403
Eugene Byrd,2,Philadelphia - Pennsylvania - USA,28/08/1975,https://www.themoviedb.org/person/342,141.6519858,39.9527237,-75.1635262
Taryn Manning,1,Tucson Arizona USA,06/11/1978,https://www.themoviedb.org/person/343,60.06781794,32.2228765,-110.9748477
Mike Bell,2,Redlands California USA,03/11/1967,https://www.themoviedb.org/person/346,44.18621595,34.0550328,-117.1827445
Scott Glenn,2,Pittsburgh Pennsylvania USA,26/01/1939,https://www.themoviedb.org/person/349,514.3742515,40.3693889,-80.6243098
Laura Linney,1,New York City New York USA,05/02/1964,https://www.themoviedb.org/person/350,425.0388709,40.7127281,-74.0060152
Dennis Haysbert,2,San Mateo California USA,02/06/1954,https://www.themoviedb.org/person/352,336.2828658,37.496904,-122.3330573
Reese Witherspoon,1,New Orleans Louisiana USA,22/03/1976,https://www.themoviedb.org/person/368,2245.792099,29.9759983,-90.0782127
Katherine Helmond,1,Galveston Texas USA,05/07/1929,https://www.themoviedb.org/person/381,350.7073121,29.299328,-94.7945882
Kim Greist,1,Stamford Connecticut U.S.,12/05/1958,https://www.themoviedb.org/person/387,393.7227326,41.0434884,-73.55018355
Alison Eastwood,1,Santa Monica California USA,22/05/1972,https://www.themoviedb.org/person/389,28.69819441,34.0194704,-118.4912273
Geraldine Chaplin,1,Santa Monica California USA,31/07/1944,https://www.themoviedb.org/person/400,166.885393,34.0194704,-118.4912273
Melora Hardin,1,Houston Texas USA,29/06/1967,https://www.themoviedb.org/person/404,138.1976167,29.7589382,-95.3676974
James Keach,2,Savannah Georgia USA,07/12/1947,https://www.themoviedb.org/person/408,23.51544145,32.0809263,-81.0911768
John Carter Cash,2,Nashville Tennessee U.S.,03/03/1970,https://www.themoviedb.org/person/410,14.37592837,35.9679203,-86.5294002
Ginnifer Goodwin,1,Memphis Tennessee USA,22/05/1978,https://www.themoviedb.org/person/417,5972.950761,35.1490215,-90.0516285
Robert Patrick,2,Marietta Georgia USA,05/11/1958,https://www.themoviedb.org/person/418,317.6717323,33.9380754,-84.51975651
Tyler Hilton,2,Palm Springs California USA,22/11/1983,https://www.themoviedb.org/person/419,17.28863738,33.77217945,-116.4952977
Johnathan Rice,2,Alexandria Virginia USA,27/05/1983,https://www.themoviedb.org/person/420,13.83987691,38.8051095,-77.0470229
Shooter Jennings,2,Nashville Tennessee U.S.,19/07/1979,https://www.themoviedb.org/person/421,13.87008159,35.9679203,-86.5294002
Waylon Payne,2,Nashville Tennessee U.S.,05/04/1972,https://www.themoviedb.org/person/422,14.28272151,35.9679203,-86.5294002
Dallas Roberts,2,Houston - Texas - USA,10/05/1970,https://www.themoviedb.org/person/424,249.8932449,29.7589382,-95.3676974
Larry Bagby,2,Marysville California USA,07/03/1974,https://www.themoviedb.org/person/426,28.87000684,39.1457247,-121.5913516
Sandra Ellis Lafferty,1,Colorado USA,02/08/1940,https://www.themoviedb.org/person/427,320.5675315,38.7251776,-105.607716
Lucas Till,2,Fort Hood Texas USA,10/08/1990,https://www.themoviedb.org/person/429,497.3691425,31.2012636,-97.70842502
Hailey Anne Nelson,1,West Hills Los Angeles California USA,14/09/1994,https://www.themoviedb.org/person/430,525.7689686,34.2032325,-118.645476
Hilary Swank,1,Lincoln Nebraska USA,30/07/1974,https://www.themoviedb.org/person/448,537.4989225,40.8088861,-96.7077751
Mike Colter,2,Columbia South Carolina USA,26/08/1976,https://www.themoviedb.org/person/450,158.6624936,34.0007493,-81.0343313
Margo Martindale,1,Jacksonville Texas USA,18/07/1951,https://www.themoviedb.org/person/452,624.0745754,31.963778,-95.2705042
Riki Lindhome,1,Coudersport Pennsylvania USA,05/03/1979,https://www.themoviedb.org/person/453,193.0436658,41.7728108,-78.0192691
Michael Peña,2,Chicago Illinois USA ,13/01/1976,https://www.themoviedb.org/person/454,937.7977118,41.8755616,-87.6244212
Tom Cruise,2,Syracuse New York USA,03/07/1962,https://www.themoviedb.org/person/500,13670.52052,43.0481221,-76.1474244
Dakota Fanning,1,Conyers Georgia USA,23/02/1994,https://www.themoviedb.org/person/501,2249.173657,34.1481531,-84.8071608
Tim Robbins,2,West Covina California USA,16/10/1958,https://www.themoviedb.org/person/504,4298.44907,34.0471735,-117.8963243
Jack Nicholson,2,Manhattan New York USA,22/04/1937,https://www.themoviedb.org/person/514,7027.88716,40.7896239,-73.9598939
Glenn Close,1,Greenwich Connecticut USA,19/03/1947,https://www.themoviedb.org/person/515,512.2079961,41.0264862,-73.6284598
Annette Bening,1,Topeka Kansas USA,29/05/1958,https://www.themoviedb.org/person/516,2095.35584,39.049011,-95.677556
Danny DeVito,2,Asbury Park New Jersey USA,17/11/1944,https://www.themoviedb.org/person/518,1968.447981,40.2203907,-74.0120817
Sarah Jessica Parker,1,Nelsonville Ohio USA,25/03/1965,https://www.themoviedb.org/person/520,605.9483678,39.458681,-82.2318156
Rod Steiger,2,Westhampton New York USA,14/04/1925,https://www.themoviedb.org/person/522,86.48783081,40.83031155,-72.66257373
Lukas Haas,2,West Hollywood California USA,16/04/1976,https://www.themoviedb.org/person/526,542.9516833,34.0923014,-118.3692894
Sylvia Sidney,1,New York City New York USA,09/08/1910,https://www.themoviedb.org/person/528,63.42543628,40.7127281,-74.0060152
Joe Pantoliano,2,Hoboken New Jersey USA,12/09/1951,https://www.themoviedb.org/person/532,790.5596022,40.7433066,-74.0323752
Mark Boone Junior,2,Cincinnati Ohio USA,17/03/1955,https://www.themoviedb.org/person/534,973.9536711,39.1014537,-84.5124602
Jorja Fox,1,New York City New York USA,07/07/1968,https://www.themoviedb.org/person/536,83.78368089,40.7127281,-74.0060152
Stephen Tobolowsky,2, Dallas Texas USA,30/05/1951,https://www.themoviedb.org/person/537,842.606523,32.7762719,-96.7968559
Harriet Sansom Harris,1,Fort Worth Texas USA,08/01/1955,https://www.themoviedb.org/person/538,341.1766738,32.753177,-97.3327459
Thomas Lennon,2,Chicago Illinois USA,09/08/1970,https://www.themoviedb.org/person/539,525.2911952,41.8755616,-87.6244212
Marianne Muellerleile,1,St. Louis Missouri USA,26/11/1948,https://www.themoviedb.org/person/543,209.6083492,38.6264256,-90.1995853
Larry Holden,2,Framingham Massachusetts USA,15/05/1961,https://www.themoviedb.org/person/544,279.5952425,42.3095704,-71.4413097
Ethan Hawke,2,Austin Texas USA,06/11/1970,https://www.themoviedb.org/person/569,2409.119657,30.2711286,-97.7436995
Hampton Fancher,2,East Los Angeles California USA,18/07/1938,https://www.themoviedb.org/person/583,0.792007506,34.0239015,-118.1720157
Sean Young,1,Louisville Kentucky USA,20/11/1959,https://www.themoviedb.org/person/586,1454.05613,38.2542376,-85.759407
Edward James Olmos,2,Los Angeles California U.S.,24/02/1947,https://www.themoviedb.org/person/587,559.3328559,-16.5867477,-72.7388789
M. Emmet Walsh,2,Ogdensburg New York USA,22/03/1935,https://www.themoviedb.org/person/588,887.0296489,44.694285,-75.486374
Daryl Hannah,1,Chicago Illinois USA ,03/12/1960,https://www.themoviedb.org/person/589,551.0435352,41.8755616,-87.6244212
William Sanderson,2,Memphis Tennessee USA,10/01/1944,https://www.themoviedb.org/person/590,497.8873657,35.1490215,-90.0516285
Brion James,2,Redlands California USA,20/02/1945,https://www.themoviedb.org/person/591,495.2026756,34.0550328,-117.1827445
Joe Turkel,2,Brooklyn New York USA,15/07/1927,https://www.themoviedb.org/person/592,905.5522216,40.6526006,-73.9497211
Joanna Cassidy,1,Haddonfield New Jersey USA,02/08/1945,https://www.themoviedb.org/person/593,266.0194146,39.8915022,-75.0376707
Blanchard Ryan,1,Boston - Massachusetts - USA,12/01/1967,https://www.themoviedb.org/person/644,16.54862281,42.3554334,-71.060511
Daniel Travis,2,Clarkston Michigan USA,10/03/1968,https://www.themoviedb.org/person/646,13.560405,42.735863,-83.4188304
Karen Allen,1,Carrollton Illinois USA,05/10/1951,https://www.themoviedb.org/person/650,2838.166324,39.3022693,-90.4070632
Don Fellows,2,Salt Lake City - Utah - USA,22/12/1922,https://www.themoviedb.org/person/662,91.52740469,40.7596198,-111.8867975
William Hootkins,2,Dallas Texas USA,05/07/1948,https://www.themoviedb.org/person/663,266.0725159,32.7762719,-96.7968559
Kate Capshaw,1,Fort Worth Texas USA,03/11/1953,https://www.themoviedb.org/person/689,1555.550952,32.753177,-97.3327459
Jennifer Grey,1,New York USA,26/03/1960,https://www.themoviedb.org/person/722,68.11602779,40.7127281,-74.0060152
Patrick Swayze,2,Houston Texas USA,18/08/1952,https://www.themoviedb.org/person/723,1647.035289,29.7589382,-95.3676974
Cynthia Rhodes,1,Nashville Tennessee USA,21/11/1956,https://www.themoviedb.org/person/724,38.2021505,36.1622767,-86.7742984
Jerry Orbach,2,New York City New York USA,20/10/1935,https://www.themoviedb.org/person/725,124.0779075,40.7127281,-74.0060152
Jack Weston,2,Cleveland Ohio USA,21/08/1924,https://www.themoviedb.org/person/726,44.45003492,41.4996562,-81.6936813
Jane Brucker,1,Falls Church Virginie USA,14/05/1958,https://www.themoviedb.org/person/727,29.97939942,38.882334,-77.1710914
Kelly Bishop,1,Colorado Springs Colorado USA,28/02/1944,https://www.themoviedb.org/person/728,89.51641282,38.8339578,-104.825348
Paula Trueman,1,New York City New York USA,1897-04-25,https://www.themoviedb.org/person/734,49.76386622,40.7127281,-74.0060152
River Phoenix,2,Metolius Oregon USA,23/08/1970,https://www.themoviedb.org/person/741,107.7154725,44.5865092,-121.1783761
Eddie Murphy,2,Brooklyn New York USA,03/04/1961,https://www.themoviedb.org/person/776,5144.611625,40.6526006,-73.9497211
Judge Reinhold,2,Wilmington Delaware USA,21/05/1957,https://www.themoviedb.org/person/777,160.679457,39.7459468,-75.546589
John Ashton,2,Springfield Massachusetts USA,22/02/1948,https://www.themoviedb.org/person/778,142.7759491,42.1018764,-72.5886727
Ronny Cox,2, Cloudcroft New Mexico U.S.,23/07/1938,https://www.themoviedb.org/person/780,235.0305578,0,0
Paul Reiser,2,New York City New York USA,30/03/1957,https://www.themoviedb.org/person/781,827.6032928,40.7127281,-74.0060152
Jonathan Banks,2,Washington District of Columbia USA,31/01/1947,https://www.themoviedb.org/person/783,252.690305,38.8950368,-77.0365427
James Russo,2,New York City New York USA,23/04/1953,https://www.themoviedb.org/person/785,286.8053585,40.7127281,-74.0060152
Stephen Elliott,2,New York City New York U.S.,27/11/1918,https://www.themoviedb.org/person/786,28.63131581,0,0
Gilbert R. Hill,2,Birmingham Alabama  U.S.A.,05/11/1931,https://www.themoviedb.org/person/787,34.14017219,0,0
Art Kimbro,2,Sacramento California USA,11/05/1956,https://www.themoviedb.org/person/788,83.62444008,38.5810606,-121.493895
Michael Champion,2,Anderson Indiana USA,,https://www.themoviedb.org/person/790,52.87594012,40.1053196,-85.6802541
Edward Norton,2,Boston Massachusetts USA,18/08/1969,https://www.themoviedb.org/person/819,3904.27088,42.3554334,-71.060511
Edward Furlong,2,Glendale California USA,02/08/1977,https://www.themoviedb.org/person/820,3394.493708,34.1469416,-118.2478471
Beverly D'Angelo,1,Columbus Ohio United States,15/11/1951,https://www.themoviedb.org/person/821,790.4538795,39.9622601,-83.0007065
Avery Brooks,2,Evansville Indiana USA,02/10/1948,https://www.themoviedb.org/person/822,663.8053558,37.9747645,-87.5558483
Jennifer Lien,1,Palos Heights Illinois USA,24/08/1974,https://www.themoviedb.org/person/823,306.646411,41.6681632,-87.7962812
Ethan Suplee,2,Manhattan New York USA,25/05/1976,https://www.themoviedb.org/person/824,1122.099969,40.7896239,-73.9598939
Stacy Keach,2,Savannah Georgia USA,02/06/1941,https://www.themoviedb.org/person/825,313.0450772,32.0809263,-81.0911768
Fairuza Balk,1,Point Reyes California USA,21/05/1974,https://www.themoviedb.org/person/826,293.6127602,37.9953181,-123.0234657
Elliott Gould,2,Brooklyn New York USA,29/08/1938,https://www.themoviedb.org/person/827,481.0014514,40.6526006,-73.9497211
Guy Torry,2,St. Louis Missouri U.S.,05/01/1969,https://www.themoviedb.org/person/828,197.2098394,0,0
William Russ,2,Portsmouth Virginia USA,20/10/1950,https://www.themoviedb.org/person/829,379.9513637,36.8444196,-76.3532998
Joe Cortese,2,Paterson - New Jersey - USA,22/02/1949,https://www.themoviedb.org/person/830,316.3391328,40.9167654,-74.171811
Ursula Buschhorn,1,Palo Alto California USA,16/05/1969,https://www.themoviedb.org/person/847,0.151180696,37.4443293,-122.1598465
James Stewart,2,Indiana Pennsylvania USA,20/05/1908,https://www.themoviedb.org/person/854,201.4769432,40.6214551,-79.1525349
Lee Remick,1,Quincy Massachusetts USA,14/12/1935,https://www.themoviedb.org/person/855,20.20173679,42.2509914,-71.0037374
Ben Gazzara,2,New York City New York USA,28/08/1930,https://www.themoviedb.org/person/856,114.5900862,40.7127281,-74.0060152
Arthur O'Connell,2,New York City New York U.S.,29/03/1908,https://www.themoviedb.org/person/857,47.77553827,0,0
Eve Arden,1,Mill Valley California U.S.,30/04/1908,https://www.themoviedb.org/person/860,47.27897026,0,0
Kathryn Grant,1,Houston Texas USA,25/11/1933,https://www.themoviedb.org/person/861,18.31209266,29.7589382,-95.3676974
George C. Scott,2,Wise Virginia USA,18/10/1927,https://www.themoviedb.org/person/862,257.3191352,36.9759345,-82.5757108
Orson Bean,2,Burlington Vermont USA,22/07/1928,https://www.themoviedb.org/person/863,449.9802623,44.4761601,-73.212906
Russ Brown,2,Philadelphia Pennsylvania USA,1892-05-30,https://www.themoviedb.org/person/866,5.880551509,39.9527237,-75.1635262
Billy Bob Thornton,2,Hot Springs Arkansas USA,04/08/1955,https://www.themoviedb.org/person/879,911.4961941,34.5038393,-93.0552437
Ben Affleck,2,Berkeley California USA,15/08/1972,https://www.themoviedb.org/person/880,8835.989077,37.8753497,-122.2396336
Liv Tyler,1,New York City New York USA,01/07/1977,https://www.themoviedb.org/person/882,1243.021375,40.7127281,-74.0060152
Will Patton,2,Charleston South Carolina USA,14/06/1954,https://www.themoviedb.org/person/883,476.5181251,32.7876012,-79.9402728
Steve Buscemi,2,New York City New York USA,13/12/1957,https://www.themoviedb.org/person/884,6916.58187,40.7127281,-74.0060152
William Fichtner,2,Mitchell Field Air Force Base East Meadow Long Island New York USA,27/11/1956,https://www.themoviedb.org/person/886,832.5526393,0,0
Owen Wilson,2, Dallas Texas USA,18/11/1968,https://www.themoviedb.org/person/887,3972.371008,32.7762719,-96.7968559
Allen Garfield,2,Newark New Jersey USA,22/11/1939,https://www.themoviedb.org/person/922,52.64533435,40.735657,-74.1723667
Dean Stockwell,2,North Hollywood Los Angeles California USA,05/03/1936,https://www.themoviedb.org/person/923,138.83387,34.1729044,-118.3740371
Paul Guilfoyle,2,Boston Massachusetts USA,28/04/1949,https://www.themoviedb.org/person/925,206.4577791,42.3554334,-71.060511
Ola Ray,1,St. Louis Missouri USA,26/08/1960,https://www.themoviedb.org/person/926,20.13039397,38.6264256,-90.1995853
Rebecca Ferratti,1,Helena Montana USA,27/11/1964,https://www.themoviedb.org/person/928,39.66762789,46.5927425,-112.036277
Tomas Arana,2,Auburn California USA,03/04/1955,https://www.themoviedb.org/person/941,1545.072761,38.8945939,-121.0739897
Danny Aiello,2,Manhattan New York City New York USA,20/06/1933,https://www.themoviedb.org/person/1004,271.1162653,40.7896239,-73.9598939
Peter Appel,2,New York City New York USA,19/10/1959,https://www.themoviedb.org/person/1005,279.0740594,40.7127281,-74.0060152
Willi One Blood,2,New York New York U.S.A.,20/09/1956,https://www.themoviedb.org/person/1006,80.44622151,0,0
Don Creech,2,New York New York U.S.A.,30/10/1948,https://www.themoviedb.org/person/1007,245.0264775,0,0
Keith A. Glascoe,0,San Francisco California USA,09/12/1962,https://www.themoviedb.org/person/1008,79.43719656,37.7790262,-122.419906
Randolph Scott,2,Orange County Virginia USA,1898-01-23,https://www.themoviedb.org/person/1009,34.52350068,38.2490349,-78.013983
Michael Badalucco,2,Brooklyn New York U.S.,20/12/1954,https://www.themoviedb.org/person/1010,238.5735848,40.6597324,-74.0035817
Cybill Shepherd,1,Memphis Tennessee USA,18/02/1950,https://www.themoviedb.org/person/1036,949.2351872,35.1490215,-90.0516285
Harvey Keitel,2,Brooklyn New York USA,13/05/1939,https://www.themoviedb.org/person/1037,8463.375017,40.6526006,-73.9497211
Jodie Foster,1,Los Angeles California USA,19/11/1962,https://www.themoviedb.org/person/1038,1628.935343,34.0536909,-118.242766
Peter Boyle,2,Norristown Pennsylvania USA,18/10/1935,https://www.themoviedb.org/person/1039,950.6676852,40.121497,-75.3399048
Diahnne Abbott,1,New York City New York USA,01/05/1945,https://www.themoviedb.org/person/1041,105.0078301,40.7127281,-74.0060152
Robinson Frank Adu,2,White Plains New York USA,25/04/1937,https://www.themoviedb.org/person/1042,212.2860016,41.0339862,-73.7629097
Christopher Lloyd,2,Stamford Connecticut USA,22/10/1938,https://www.themoviedb.org/person/1062,1318.139787,41.0534302,-73.5387341
Lea Thompson,1,Rochester Minnesota USA,31/05/1961,https://www.themoviedb.org/person/1063,286.9314724,44.0234387,-92.4630182
Crispin Glover,2,New York City New York USA,20/04/1964,https://www.themoviedb.org/person/1064,443.4226463,40.7127281,-74.0060152
Thomas F. Wilson,2,Philadelphia Pennsylvania USA,15/04/1959,https://www.themoviedb.org/person/1065,332.3075187,39.9527237,-75.1635262
Marc McClure,2,San Mateo California U.S.,31/03/1957,https://www.themoviedb.org/person/1067,408.1831865,0,0
Wendie Jo Sperber,1,Hollywood California USA,15/09/1958,https://www.themoviedb.org/person/1068,201.3069823,34.0980031,-118.329523
George DiCenzo,0,New Haven - Connecticut - USA,21/04/1940,https://www.themoviedb.org/person/1069,134.7551728,41.3082138,-72.9250518
Frances Lee McCain,1,York Pennsylvania USA,28/07/1944,https://www.themoviedb.org/person/1070,353.3826309,39.9624624,-76.727707
James Tolkan,2,Calumet Michigan USA,20/06/1931,https://www.themoviedb.org/person/1072,307.1703851,47.246592,-88.454006
Carl Weathers,2,New Orleans Louisiana USA,14/01/1948,https://www.themoviedb.org/person/1101,1905.402949,29.9759983,-90.0782127
Bill Duke,2,Poughkeepsie New York USA,26/02/1943,https://www.themoviedb.org/person/1103,720.7368909,41.7065539,-73.9283672
Jesse Ventura,2,Minneapolis - Minnesota - USA,15/07/1951,https://www.themoviedb.org/person/1104,203.9349572,44.9772995,-93.2654692
Sonny Landham,2,Canton Georgia USA,11/02/1941,https://www.themoviedb.org/person/1105,259.2565425,34.1693221,-84.4367202
Richard Chaves,2,Jacksonville Florida USA,09/10/1951,https://www.themoviedb.org/person/1106,376.654813,30.3321838,-81.655651
R. G. Armstrong,2,Birmingham Alabama USA,07/04/1917,https://www.themoviedb.org/person/1107,71.98386014,33.5206824,-86.8024326
Kevin Peter Hall,2,Pittsburgh Pennsylvania USA,09/05/1955,https://www.themoviedb.org/person/1109,139.2647108,40.3693889,-80.6243098
Dennis Farina,2,Chicago Illinois USA,29/02/1944,https://www.themoviedb.org/person/1117,465.833765,41.8755616,-87.6244212
Al Pacino,2,New York City New York USA,25/04/1940,https://www.themoviedb.org/person/1158,7962.953571,40.7127281,-74.0060152
Michelle Pfeiffer,1,Santa Ana California USA,29/04/1958,https://www.themoviedb.org/person/1160,2617.190212,33.7494951,-117.8732213
